tweet.id,tweet.user.username,tweet.date,tweet.lang,tweet.rawContent,label,score
1099910626384756736,ayeshaghaffar,2019-02-25 05:55:03+00:00,en,"I knew it. Honestly, nobody deserved it more this time! So happy. @ItsRamiMalek congrats ^_^  #Oscars2019 #Oscars #RamiMalek",positive,0.989664614200592
1099908990517927937,ScriptFeed,2019-02-25 05:48:33+00:00,en,Rami Malek &amp; Olivia Colman Named Best Actor &amp; Actress at 2019 Oscars | THR News https://t.co/bkGT3WBA4e https://t.co/Q8A8V3UvsT,positive,0.6566294431686401
1099911117667733504,LMJB,2019-02-25 05:57:00+00:00,en,Oscars Live Updates: Rami Malek and Olivia Colman Win Acting Awards by BROOKS BARNES via NYT Movies https://t.co/OmHd82ez19 via @nytimes,neutral,0.5501906275749207
1099932706916446210,BlueTapShoe,2019-02-25 07:22:47+00:00,en,"#CONGRATS to @ItsRamiMalek on his win for best actor at the #Oscars!!! You deserve it Rami, you beautiful human. #hopeitwasworthalltheoverwhelmingautographs #RamiMalek #Oscars2019 https://t.co/OW97sQ2G17",positive,0.9873145222663879
1099917886150328320,organicdestiny,2019-02-25 06:23:54+00:00,en,Just gonna throw it out there that I’m salty in advance at all the Arab folks that are gonna celebrate Rami Malek and stay real quiet on the fact that a queer person’s story is what made this success possible for him,negative,0.5006491541862488
1099912951006404609,kayteepp,2019-02-25 06:04:17+00:00,en,"rami malek in an interview about freddie’s bisexuality in october: he didn’t like labels, he was just HIM and that’s okay  rami in his oscar acceptance speech: no yeah freddie was gay it was so fun to portray a GAY🤪😂😇",positive,0.594762921333313
1099904088823791616,TheAdiaLauren,2019-02-25 05:29:04+00:00,en,I always thought Rami Malek’s bone structure was perfect and intriguing.,positive,0.9221817851066589
1099901299531939841,TheQuigster96,2019-02-25 05:17:59+00:00,en,Here's what I did NOT like: -BoRap winning Best Film Editing (SERIOUSLY?) -Bradley Cooper losing Best Actor to Rami Malek -Green Book winning Best Picture (though it could've been worse but still) -Legendary director Paul Schrader losing Best Original Screenplay to Green Book,negative,0.7842671275138855
1099902132621373441,_aTomHLokiFan,2019-02-25 05:21:18+00:00,en,#Oscars2019  Yeah and the winners are #OliviaColman for best actress in here role and #RamiMalek  for best actor in his role congratulations and best movie🎬 #GreenBook  Congratulations to all 🎉🎊🥂😁👍🏻,positive,0.9853818416595459
1099898106512982022,QueerGemm,2019-02-25 05:05:18+00:00,en,Why does representation matters? Because erasure keeps happening to this day! Rami Malek just went and did it. #QueerRepMatters https://t.co/uvJs6Lb2PV,negative,0.6156883835792542
1099923514029686784,tiresetcfan1,2019-02-25 06:46:15+00:00,en,@TheAcademy what happened to rami malek’s ankle,neutral,0.8061439394950867
1099911080577425408,Redfang_Foxx,2019-02-25 05:56:51+00:00,en,My reaction to bohemianrhapsodymovie won four out of five #Oscars that it was nominated for. Shoutout to ramimalek for winning a much-deserved “Best Actor” #bohemianrhapsody #oscars2019 https://t.co/1O3rmCj7ms,positive,0.9746537804603577
