tweet.id,tweet.user.username,tweet.date,tweet.lang,tweet.rawContent,label,score
1386545067503009792,garydavidlebel,2021-04-26 04:57:59+00:00,en,"#Oscars2021 congratulations to that Lion in Winter Anthony Hopkins , he is crazy good always 👏👏👏👏",positive,0.9847367405891418
1386533935035867137,mado_ms,2021-04-26 04:13:45+00:00,en,"#oscars yay to our autistic man Anthony Hopkins, he's a legend!",positive,0.9852229356765747
1386530873328156685,OmnivorousPrime,2021-04-26 04:01:35+00:00,en,"@TheCut ‘...the Academy really just forced everyone to come to L.A.’  “Did they?”        - Anthony Hopkins  “No, they didn’t.”        - Nominees at a theatre in London",neutral,0.6852074861526489
1386532873826668544,TheRealLilBZ,2021-04-26 04:09:32+00:00,en,I think it's worth noting that Anthony Hopkins gave the exact same victory speech that Chadwick Boseman would have given!,positive,0.6112032532691956
1386572971632775169,NigelTh96615947,2021-04-26 06:48:52+00:00,en,@JonnyQuest2024 Anthony Hopkins is a man doing his job well.,positive,0.8335644006729126
1386573697146839041,springlew114,2021-04-26 06:51:45+00:00,en,Congratulations to one of the greats @AnthonyHopkins #Oscars 👏🏽,positive,0.983819842338562
1386533127229739015,patsfan1984,2021-04-26 04:10:32+00:00,en,@chiefkeefeszn @barstoolsports Who is Anthony Hopkins? Who the fuck are you?,negative,0.8542242050170898
1386538887934185474,rudrangshgupta,2021-04-26 04:33:26+00:00,en,"@blonde_ad The late Chadwick Boseman did not win because with all due to respect to his amazing performance , Sir Anthony Hopkins was better in The Father.",neutral,0.5055230259895325
1386549641135546368,hendk,2021-04-26 05:16:09+00:00,en,"Congrats, Sir Anthony Hopkins. #Oscars",positive,0.9748238921165466
1386554075836080130,mitskiheron,2021-04-26 05:33:47+00:00,en,Best picture Glenn Close #Oscars             #RHOA Kenya Drew chloe zhao brad pitt yuh-jung youn crip camp wolfwalkers #90DayFiance andrei angela halle berry tenet soul steven yeun tyler perry daniel kaluuya anthony hopkins mank minari nomadland   https://t.co/X3Roix5aVh,positive,0.7916142344474792
1386570491184353282,movilti,2021-04-26 06:39:00+00:00,en,#oscar2021 Winner Best Actor  #anthonyhopkins   #moviltimedia #movilti #oscar #oscarawards #oscars  #oscar2021 #oscarawards  #awards #bestactor  @AnthonyHopkins @movilti https://t.co/9SZvF9USh1,positive,0.9142889976501465
1386196775413878785,ComicBook,2021-04-25 05:54:00+00:00,en,#ChadwickBoseman gets an NFT tribute In #Oscars nominee gift bags  https://t.co/KAMbU7vyuj https://t.co/A7uqQxOtQ5,positive,0.6001491546630859
1386554957533376521,TheEditor5577,2021-04-26 05:37:17+00:00,en,"STORM OF STEEL: Powerful combat memoir.  Click link:  https://t.co/o9FkSv164E  #Oscars #GlennClose #ChloeZhao #FrancesMcDormand ,#FalconAndWinterSoldier #FalconAndWinterSoldierFinale #Marvel #CaptainAmerica #CaptainAmerica4 #AnthonyHopkins https://t.co/WL0q4oqqcm",positive,0.7449845671653748
1386570453783916545,MavoyOfficial,2021-04-26 06:38:52+00:00,en,"YAY NOMADLAND CONGRATS CHLOE! Rare great ""Best Picture"" ❤️️  Pretty much all the awards deserved (also rare 😯), though it's sad Chad will never have one. Thought it's locked. Congrats to those on TT: Sir @AnthonyHopkins and @EmeraldFennell #Oscars #AcademyAwards",positive,0.9663270711898804
1386535018634354691,mikeroberts422,2021-04-26 04:18:03+00:00,en,@john_lasater @hodgman Anthony hopkins already had an Oscar for hannibal lecter. The fact that they Snubbed Chadwick was straight up racism. They literally rearranged the show and had chadwick on gear  #Oscars2021,negative,0.5952520370483398
1386544712757227520,smFISHMAN,2021-04-26 04:56:34+00:00,en,Haven’t seen this much heel heat for Anthony Hopkins since Silence of the Lambs. #Oscars https://t.co/lEBRjXJsjz,neutral,0.6768320202827454
1386533796577566720,TcWolverine,2021-04-26 04:13:12+00:00,en,"Congrats to @AnthonyHopkins for his long-awaited #Oscar.  You are a credit to your craft, and we celebrate your victory tonight!",positive,0.9855879545211792
1386535723776372743,NewsBFM,2021-04-26 04:20:51+00:00,en,"Chinese-born Chloe Zhao is the first Asian woman and second woman ever to win Best Director at the Oscars for 𝘕𝘰𝘮𝘢𝘥𝘭𝘢𝘯𝘥, which was also named Best Picture.  (𝘕𝘰𝘮𝘢𝘥𝘭𝘢𝘯𝘥) Frances McDormand won Best Actress, and (𝘛𝘩𝘦 𝘍𝘢𝘵𝘩𝘦𝘳) Anthony Hopkins won Best Actor. https://t.co/AIUqCKfHP5",positive,0.8089420795440674
1386547225925492736,MLehocine,2021-04-26 05:06:34+00:00,en,"Anthony Hopkins received the best actor award at the #Oscars on Sunday for his towering performance as a London patriarch struggling with dementia in the drama “The Father.” Hopkins, 83, is now the oldest actor to ever win an Oscar. https://t.co/RgDgS5BoAX",positive,0.9073855876922607
1386565565922283521,zanoulitsa,2021-04-26 06:19:26+00:00,en,👏👏👏👏 Congratulations for your amazing performance Sir @AnthonyHopkins 🙏🙏🙏 ❤️,positive,0.986834704875946
1386531122063069190,tracytran,2021-04-26 04:02:34+00:00,en,"@MartinKoenigsb2 I heard great things about Anthony Hopkins, which is good, but there were better performances this year with Boseman, Yuen, and Ahmed. Something was not connecting.",neutral,0.45411404967308044
1386566787903410177,JFMMA99,2021-04-26 06:24:18+00:00,en,"People are really saying that Anthony Hopkins winning best actor is racist, his performance blew Chadwick’s and the other nominees out of the water",negative,0.6599067449569702
1386531394986389506,stephk_davis,2021-04-26 04:03:39+00:00,en,i WILL throw hands if anyone makes sir anthony hopkins the villain here,negative,0.810737133026123
1386539561707266050,Kurababou,2021-04-26 04:36:06+00:00,en,"@JoyAnnReid Because Chadwick unfortunately died, does not mean he should automatically win. Sir Anthony Hopkins delivered the performance of a lifetime in “The Father”.",neutral,0.5095680952072144
1386543681226756097,lazyonce_,2021-04-26 04:52:28+00:00,en,"I can accept Chadwick losing to Anthony Hopkins since I watched both films and both were amazing, but Carey should have it on the bag instead of Frances.",positive,0.4337943196296692
1386531571398856707,anelendv,2021-04-26 04:04:21+00:00,en,@AnthonyHopkins Dyland Thomas in.your voice.  God with us.,positive,0.8389728665351868
1386537049168105474,jsrrayburn,2021-04-26 04:26:07+00:00,en,"@EmeryvilleMatty @nypost I mean… considering that Anthony Hopkins has already won one previous, and the fact that Chadwick Boseman is dead (and thus won't get another shot at a nomination)… it's not entirely an unreasonable position.",neutral,0.7604719400405884
1386562134583042049,urbanasiacom,2021-04-26 06:05:48+00:00,en,Berikut daftar lengkap pemenang Oscar 2021:  Actor In A Leading Role Anthony Hopkins (The Father)  Actor In A Supporting Role Daniel Kaluuya (Judas and the Black Messiah)  Actress In A Leading Role Frances McDormand (Nomadland)  Actress In A Supporting Role Youn Yuh Jung (Minari),neutral,0.9009940028190613
1386536767759609856,ZeeNewsEnglish,2021-04-26 04:25:00+00:00,en,#Oscars2021: #AnthonyHopkins beats Chadwick Boseman to win best actor for 'The Father'  #Oscar #Oscars #BestActor #TheFather https://t.co/1WMoHhyFv9,positive,0.7519508600234985
1386547485393362945,fazg1996,2021-04-26 05:07:35+00:00,en,I will be unfollowing anyone who says Anthony Hopkins shouldn’t have won. SEE THE F*CKING MOVIE FIRST,negative,0.8887012004852295
1386531554428477441,meawwofficial,2021-04-26 04:04:17+00:00,en,"Anthony Hopkins was awarded the 'Best Actor in Leading Role' for performance in 'The Father', fans say Chadwick Boseman robbed.  #Oscars #AcademyAwards2021 #ChadwickBoseman #AnthonyHopkins  https://t.co/f6zid8Q73m",neutral,0.668479859828949
1386531407892201472,CarlosMendezO,2021-04-26 04:03:42+00:00,en,Los tres grandes de Hollywood: 1. Jack Nicholson 2. Daniel Day-Lewis 3. Anthony Hopkins  #Oscars #Oscars2021 #TheFather #OscarsTNT,positive,0.5361146926879883
1386546300720541703,DharamrazCasino,2021-04-26 05:02:53+00:00,en,Get a chance to play and win real money online with no deposit at a free online casino from your side. https://t.co/1Tlx2HEKaN #safeonlinecasino #safecasinosites #winbig #winrealmoney #winrealmoneyonline #onlinecasinosites #BestPicture #IMPACTRebellion #AnthonyHopkins #BestActor https://t.co/TyFqlfe2cp,positive,0.8767087459564209
1386533916325015559,ZonedPhantom,2021-04-26 04:13:40+00:00,en,@LeoStyles19 I mean Anthony Hopkins is a god tier actor. Oscars have been a pretentious circle jerk for decades. They've never mattered. It's just an ego celebration for the hyper famous.,negative,0.47816139459609985
1386562558442631172,seacliff505,2021-04-26 06:07:29+00:00,en,@SpencerAlthouse Chadwick Boseman never received the recognition he deserved for his much better earlier work. Giving awards posthumously smacks of patronization. Anthony Hopkins gave the best performance of his career and deserved the Oscar.,negative,0.6876859664916992
1386551564391919618,PopCultureMods,2021-04-26 05:23:48+00:00,en,"@ThumbWarriorDX @Actually_Tina What are you talking about? Anthony Hopkins didn't 'pick' Phoenix to present that category, producers did. Traditionally the year's prior winners in Actor/Actress present the following year (though normally in the opposite category, i.e. Actor presents Actress).",neutral,0.7932422161102295
1386536403232772099,MarkAllan1426,2021-04-26 04:23:33+00:00,en,Wait I just figured it out. The Academy did it that way so we’d all be just as confused as Anthony Hopkins in The Father! #Oscars2021 #Oscars,negative,0.510975182056427
1386563805480632323,dilemmv,2021-04-26 06:12:26+00:00,en,I bet you SIR Anthony Hopkins was told about the mess and decided to skip the disaster.,negative,0.6242331266403198
1386531712482566145,fluttershyyay49,2021-04-26 04:04:55+00:00,en,"I love Anthony Hopkins to death; but to be completely honest I can't help but feel a great deal of disappointment that 'Best Actor,' wasn't awarded to Chadwick Boseman instead. I really would have liked to see our King have one last win, even if wasn't in life. https://t.co/9i2rZp3Css",negative,0.391526460647583
1386543971376111621,imaybeabastard1,2021-04-26 04:53:38+00:00,en,@bratzdollbimbo @swiftxotesfaye @TheFilmUpdates No. You’re mad. Lol! We get it. You wanted a person of color to win. Viola should’ve won best actress. But Anthony Hopkins deserved the Oscar.,negative,0.4871313273906708
1386535092768493571,sandrasandias,2021-04-26 04:18:21+00:00,en,@OswaldoIOliver @AnthonyHopkins Congrats! 👏👏👏,positive,0.9631214737892151
1386538251574448128,RodneySanders34,2021-04-26 04:30:54+00:00,en,"Anthony Hopkins gave an exceptional, emotional performance...in the last 10 minutes of THE FATHER.   Chadwick gave a charismatic, confident performance the entire duration of MA RAINEY!   That UK voting block is STRONG 💪   #Oscars2021 #ChadwickBoseman #AnthonyHopkins",positive,0.9734511375427246
1386552326912098305,Laurenm57,2021-04-26 05:26:50+00:00,en,It was great for @AnthonyHopkins to show up to receive his Oscar. Oh wait he didn’t. @TheAcademy,positive,0.9361978769302368
1386555904145846272,yosmar_coronado,2021-04-26 05:41:03+00:00,en,"Oscars 2021: 'Nomadland' is big winner, Anthony Hopkins wins best actor https://t.co/CncK0nxxSs https://t.co/T8Vjb52aZA",positive,0.9553584456443787
