tweet.id,tweet.user.username,tweet.date,tweet.lang,tweet.rawContent,label,score
1386470039759605762,josematarodri,2021-04-25 23:59:51+00:00,en,Anthony Hopkins Forever #Oscars,positive,0.9041159152984619
1386470021367582728,talk_bed,2021-04-25 23:59:47+00:00,en,Comment below who will take the title for ACTOR IN A LEADING ROLE #rizahmed @chadwickboseman @AnthonyHopkins #garyoldman #stevenyeun https://t.co/ua5yjieS7Z,neutral,0.9016489386558533
1386469989868257284,petermazurk,2021-04-25 23:59:39+00:00,en,@YorgosHelios @NME Ha ha ha . He was great but #anthonyhopkins just stunning,positive,0.9699175953865051
1386469956070658049,welshjaci,2021-04-25 23:59:31+00:00,en,"OK I'm going Anthony Hopkins Best Actor, Emerald Best Original Screenplay, Nomadland for Best Cinematography, director, movie and actress.",positive,0.6829419732093811
1386469927851216905,rm7_sweet,2021-04-25 23:59:24+00:00,en,"Mr. @AnthonyHopkins, you've been my favourite actor all the time.I really love your work, and believe me, that performance in the movie ""the father"" woow!!! You made me cry a lot,there are no one that deserves more the #Oscar2021 than you. To me you are the winner no matter what https://t.co/tE77pKyGjQ",positive,0.9833268523216248
1386469860092301322,BragsterJourno,2021-04-25 23:59:08+00:00,en,"Olivia Colman is up for Best Supporting Actress for her role in The Father alongside Anthony Hopkins.  She said: ""I'm usually in bed by now""",positive,0.6782337427139282
1762047812752015623,RobertsPohotoG,2024-02-26 09:31:50+00:00,en,This is worth seeing for all of us.,positive,0.9639898538589478
1386469802504511488,FilmsOnToday,2021-04-25 23:58:54+00:00,en,@TheAcademy 2021 my selected picks:  🔸Picture: Nomadland 🔸Leading Actor: @AnthonyHopkins  🔸Leading Actress: Frances McDormand 🔸Supporting Actor: @SachaBaronCohen  🔸Supporting Actress: Olivia Colman 🔸Director: Chloé Zhao 🔸Screenplays: Judas and the Black Messiah/The Father,neutral,0.7896224856376648
1386469626268196866,TheatreofZen,2021-04-25 23:58:12+00:00,en,"Looks like Anthony Hopkins stayed in the UK, smart.",neutral,0.6033554077148438
1386469589450625025,radcliff8,2021-04-25 23:58:04+00:00,en,@AnthonyHopkins Oh Sir you are going to be ok . Don’t worry about old age you are perfect. Know that you make so many folks happy with your words. Be happy you are much loved,positive,0.9672315716743469
