tweet.id,tweet.user.username,tweet.date,tweet.lang,tweet.rawContent,label,score
1508213119428005903,RedFoxHeart,2022-03-27 22:43:23+00:00,en,@DannyWascou She’s great! I think Jessica Chastain is going to win.,positive,0.982912540435791
1508205902939230217,nobriancells420,2022-03-27 22:14:43+00:00,en,ready for all my oscar predictions to be wrong except for anything involving jessica chastain and eyes of tammy faye https://t.co/tHuyQTwdf6,neutral,0.5261110663414001
1508203048811724801,boozymoviesshow,2022-03-27 22:03:22+00:00,en,Our predictions for the Big 5 - what are yours? #Oscars #Oscars2022   Best Picture: Power of the Dog Best Supp Actor: Troy Kotsur  Best Supp Actress: Ariana DeBose Best Actor: Will Smith (H) Benedict Cumberbatch (J) Best Actress: Jessica Chastain (H) Kristen Stewart (J) https://t.co/r2Q4wPcUFy,neutral,0.5413590669631958
1508199556231663624,paulsvngf,2022-03-27 21:49:29+00:00,en,JESSICA CHASTAIN!!! https://t.co/zZ9bDTDSvM,positive,0.6440181136131287
1508198498142982154,bychzstain,2022-03-27 21:45:17+00:00,en,@PopCrave Jessica Chastain,neutral,0.6844301223754883
1508209792111853570,peoplestyle,2022-03-27 22:30:10+00:00,en,Jessica Chastain Sparkles in Ombré Gucci Gown at the 2022 Oscars  https://t.co/MMctmB4lTD,neutral,0.7795975804328918
1508201241817538561,Allure_magazine,2022-03-27 21:56:11+00:00,en,Leave it to #JessicaChastain to give us an effortlessly ethereal look at the #Oscars. She never misses. ❤️  https://t.co/yhl09x8avR  via Getty Images https://t.co/mAn5CA8qbu,positive,0.971566379070282
1508200589099941903,GagaTheExplorer,2022-03-27 21:53:36+00:00,en,"Jessica Chastain looks like a goddess, give her the Oscar already 🤩",positive,0.9783844947814941
1508203362172510227,sheseesred,2022-03-27 22:04:37+00:00,en,"so far the oscar looks I love are on jessica chastain, regina hall and the guy in the pale pink suit (although it's not as lush as domingo's hot pink gem).",positive,0.9659306406974792
1508228812735229954,cravemedia_,2022-03-27 23:45:45+00:00,zxx,https://t.co/9UTp2BXlb7,neutral,0.721049427986145
1508200840879824900,rajanikamath,2022-03-27 21:54:36+00:00,en,Jessica Chastain looks like an Oscar winner in Gucci! Love the multiple colours in this dress! #Oscar #Oscars2022 https://t.co/T1ZeJ6W7dy,positive,0.9828757047653198
1508218863141466114,nickelgeetweets,2022-03-27 23:06:12+00:00,en,@JaredLaurie She could also hold Jessica Chastain’a,neutral,0.7661674618721008
1508216241160220677,DJobling,2022-03-27 22:55:47+00:00,en,Jessica Chastain was great as Tammy Faye Baker,positive,0.9537509679794312
1508212065873367053,hjmgwp,2022-03-27 22:39:12+00:00,en,lo que es jessica chastain dios santo god is a womaaaannnnn https://t.co/PbZTz0D6oN,neutral,0.7310028672218323
1757984327822868808,Shopify,2024-02-15 04:25:00+00:00,en,"Ready to boost your business? Sign up for a free trial with Shopify and start your journey today.  Shopify’s Smart Order Routing is a powerful tool that helps you optimize your fulfillment process, reduce shipping costs, and deliver products faster to your customers.",positive,0.916295051574707
